Date,Total Nodes(C),In Use,Offline,Available,Down,Running Jobs,Jobs in Queue
16-06-2025 02:30,422,351,0,71,0,98,14
16-06-2025 03:30,422,351,0,71,0,98,13
16-06-2025 04:30,422,326,0,96,0,94,13
16-06-2025 05:30,422,337,0,85,0,94,13
16-06-2025 06:30,422,332,0,90,0,93,12
16-06-2025 07:30,422,339,0,83,0,95,12
16-06-2025 08:30,422,334,0,88,0,94,12
16-06-2025 09:30,422,338,0,84,0,99,11
16-06-2025 10:30,422,378,0,44,0,113,17
16-06-2025 11:30,422,383,0,39,0,125,22
16-06-2025 12:30,422,413,0,9,0,131,23
16-06-2025 13:30,422,366,0,56,0,125,21
16-06-2025 14:30,422,399,0,23,0,128,21
16-06-2025 15:30,422,375,0,47,0,124,20
16-06-2025 16:30,422,379,0,43,0,130,20
16-06-2025 17:30,422,359,0,63,0,132,20
16-06-2025 18:30,422,359,2,63,0,136,16
16-06-2025 19:30,422,344,2,78,0,133,14
16-06-2025 20:30,422,368,2,54,0,133,12
16-06-2025 21:30,422,345,2,77,0,128,5
16-06-2025 22:30,422,332,2,90,0,122,6
16-06-2025 23:30,422,308,2,114,0,117,5
17-06-2025 00:30,422,316,2,106,0,116,4
17-06-2025 01:30,422,313,2,109,0,113,4
17-06-2025 02:30,422,307,2,115,0,110,4
17-06-2025 03:30,422,301,2,121,0,106,4
17-06-2025 04:30,422,283,2,139,0,103,4
17-06-2025 05:30,422,268,2,154,0,99,4
17-06-2025 06:30,422,267,2,155,0,96,3
17-06-2025 07:30,422,267,2,155,0,93,2
17-06-2025 08:30,422,291,3,130,0,97,2
17-06-2025 09:30,422,298,3,123,0,101,2
17-06-2025 10:30,422,292,3,129,0,113,3
17-06-2025 11:30,422,329,3,92,0,123,10
17-06-2025 12:30,422,363,3,58,0,131,11
17-06-2025 13:30,422,365,3,56,0,128,8
17-06-2025 14:30,422,357,3,64,0,124,7
17-06-2025 15:30,422,371,3,50,0,123,5
17-06-2025 16:30,422,389,3,32,0,127,7
17-06-2025 17:30,422,410,3,11,0,139,7
17-06-2025 18:30,422,395,3,25,0,147,9
17-06-2025 19:30,422,383,3,37,0,151,8
17-06-2025 20:30,422,348,3,72,0,144,9
17-06-2025 21:30,422,347,3,73,0,149,9
17-06-2025 22:30,422,338,3,82,0,140,13
17-06-2025 23:30,422,325,3,95,0,136,13
18-06-2025 00:30,422,326,3,94,0,136,11
18-06-2025 01:30,422,338,3,82,0,140,13
18-06-2025 02:30,422,330,3,90,0,135,11
18-06-2025 03:30,422,312,3,108,0,134,10
18-06-2025 04:30,422,288,3,132,0,126,8
18-06-2025 05:30,422,276,3,144,0,123,6
18-06-2025 06:30,422,251,3,169,0,119,5
18-06-2025 07:30,422,250,3,170,0,119,4
